"","School.Year","Borough","Geographical.District.Code","Register","X..Schools","Major.N","Oth.N","NoCrim.N","Prop.N","Vio.N"
"194","2013-14","K",20,"1,149",1,"0","0","0","0","0"
"195","2013-14","K",15,"1,355",1,"0","0","0","0","0"
"196","2013-14","K",18,"851",3,"2","15","4","6","6"
"197","2013-14","K",18,"544",1,"1","0","0","0","1"
"198","2013-14","K",22,"1,863",1,"0","4","8","1","3"
"199","2013-14","K",18,"1,234",1,"0","0","0","0","0"
"200","2013-14","K",22,"581",1,"0","0","0","0","0"
"201","2013-14","K",14,"769",1,"0","0","0","0","0"
"202","2013-14","K",20,"722",2,"0","0","3","0","0"
"203","2013-14","K",21,"550",1,"0","2","1","1","1"
"204","2013-14","K",13,"1,004",1,"1","2","2","3","0"
"205","2013-14","K",21,"1,312",1,"0","1","1","0","1"
"206","2013-14","K",22,"916",1,"2","6","6","0","5"
"207","2013-14","K",17,"657",1,"0","0","0","0","0"
"208","2013-14","K",18,"192",1,"0","1","0","1","0"
"209","2013-14","K",16,"286",2,"0","0","0","0","0"
"210","2013-14","K",18,"704",1,"0","0","1","0","0"
"211","2013-14","K",17,"603",3,"2","5","4","2","4"
"212","2013-14","K",20,"796",1,"0","0","1","0","0"
"213","2013-14","K",17,"907",1,"0","1","0","1","0"
"214","2013-14","K",22,"573",1,"1","2","1","2","1"
"215","2013-14","K",18,"330",2,"2","0","0","0","2"
"216","2013-14","K",21,"806",1,"0","0","0","0","0"
"217","2013-14","K",22,"700",1,"0","0","0","0","0"
"218","2013-14","K",22,"868",1,"0","0","1","0","0"
"219","2013-14","K",13,"355",1,"0","1","1","0","1"
"220","2013-14","K",14,"660",1,"0","2","0","2","0"
"221","2013-14","Q",25,"975",1,"1","0","0","1","0"
"222","2013-14","K",13,"272",3,"0","4","6","0","2"
"223","2013-14","K",20,"1,427",1,"1","2","0","2","0"
"224","2013-14","K",19,"226",2,"0","0","0","0","0"
"225","2013-14","K",15,"817",1,"0","2","0","2","0"
"226","2013-14","K",16,"504",1,"0","2","2","2","0"
"227","2013-14","K",23,"664",2,"1","3","0","4","0"
"228","2013-14","K",20,"362",1,"0","0","0","0","0"
"229","2013-14","K",13,"503",2,"1","3","5","3","0"
"230","2013-14","K",18,"459",1,"0","0","1","0","0"
"231","2013-14","K",22,"397",1,"0","0","1","0","0"
"232","2013-14","K",13,"157",2,"0","0","1","0","0"
"233","2013-14","X",8,"510",1,"0","1","1","0","1"
"234","2013-14","K",16,"503",2,"1","1","4","2","0"
"235","2013-14","K",23,"717",3,"2","12","5","12","1"
"236","2013-14","K",18,"574",1,"0","1","0","0","1"
"237","2013-14","K",19,"340",1,"0","0","0","0","0"
"238","2013-14","K",32,"582",1,"0","0","1","0","0"
"239","2013-14","K",23,"619",4,"1","4","2","2","2"
"240","2013-14","K",18,"761",1,"0","0","0","0","0"
"241","2013-14","K",22,"461",1,"0","0","0","0","0"
"242","2013-14","K",22,"1,073",1,"0","3","7","1","0"
"243","2013-14","K",18,"532",1,"0","0","0","0","0"
"244","2013-14","K",21,"1,177",1,"1","3","5","1","0"
"245","2013-14","K",23,"587",1,"0","2","2","1","1"
"246","2013-14","K",18,"914",1,"0","5","4","1","1"
"247","2013-14","K",22,"343",1,"1","1","1","2","0"
"248","2013-14","K",13,"215",1,"0","0","0","0","0"
"249","2013-14","K",21,"451",1,"0","0","2","0","0"
"250","2013-14","K",17,"515",1,"0","0","2","0","0"
"251","2013-14","K",19,"574",1,"0","0","1","0","0"
"252","2013-14","K",32,"842",3,"1","0","12","1","0"
"253","2013-14","K",19,"727",2,"3","4","12","3","4"
"254","2013-14","K",15,"754",2,"1","9","7","7","1"
"255","2013-14","K",32,"357",2,"1","5","4","4","2"
"256","2013-14","K",14,"271",2,"0","0","0","0","0"
"257","2013-14","Q",26,"643",1,"0","0","0","0","0"
"258","2013-14","K",23,"417",2,"0","4","3","1","3"
"259","2013-14","K",32,"381",1,"0","1","1","0","1"
"260","2013-14","K",19,"672",1,"1","1","6","1","1"
"261","2013-14","K",19,"800",4,"1","6","19","5","2"
"262","2013-14","K",21,"1,083",3,"1","6","3","6","0"
"263","2013-14","K",16,"337",2,"1","0","0","1","0"
"264","2013-14","K",13,"383",2,"1","4","1","3","1"
"265","2013-14","K",13,"489",2,"0","2","0","1","0"
"266","2013-14","K",32,"642",1,"0","0","0","0","0"
"267","2013-14","K",16,"461",2,"0","2","0","1","0"
"268","2013-14","K",16,"288",2,"1","1","0","1","1"
"269","2013-14","K",20,"389",1,"0","0","0","0","0"
"270","2013-14","K",22,"909",1,"0","0","0","0","0"
"271","2013-14","K",13,"957",2,"2","1","5","1","2"
"272","2013-14","K",20,"1,836",2,"0","3","0","3","0"
"273","2013-14","K",17,"571",2,"0","1","3","0","1"
"274","2013-14","K",13,"465",1,"0","0","0","0","0"
"275","2013-14","K",14,"1,632",1,"0","1","1","1","0"
"276","2013-14","K",17,"812",2,"6","2","10","4","4"
"277","2013-14","K",15,"1,480",1,"0","0","0","0","0"
"278","2013-14","K",16,"289",3,"2","1","3","2","1"
"279","2013-14","K",23,"634",1,"1","0","3","0","1"
"280","2013-14","K",21,"443",1,"0","0","1","0","0"
"281","2013-14","K",20,"510",1,"0","0","0","0","0"
"282","2013-14","K",32,"531",1,"0","2","1","0","0"
"283","2013-14","K",23,"267",3,"0","0","1","0","0"
"284","2013-14","K",19,"966",2,"0","2","5","0","1"
"285","2013-14","K",23,"1,050",2,"1","1","1","2","0"
"286","2013-14","K",19,"369",1,"0","0","0","0","0"
"287","2013-14","K",18,"389",1,"0","1","0","1","0"
"288","2013-14","K",15,"643",1,"0","0","1","0","0"
"289","2013-14","K",21,"413",2,"0","0","0","0","0"
"290","2013-14","K",15,"280",1,"6","6","3","3","7"
"291","2013-14","K",14,"664",1,"0","0","0","0","0"
"292","2013-14","K",32,"915",2,"0","1","0","1","0"
"293","2013-14","K",32,"718",1,"1","2","4","1","2"
"294","2013-14","M",2,"485",1,"0","0","0","0","0"
"295","2013-14","K",17,"408",3,"0","1","0","0","0"
"296","2013-14","K",17,"326",3,"2","6","5","7","1"
"297","2013-14","K",22,"551",1,"0","0","1","0","0"
"298","2013-14","K",23,"252",1,"0","1","2","0","1"
"299","2013-14","K",17,"345",1,"0","1","0","1","0"
"300","2013-14","K",17,"636",2,"0","1","1","1","0"
"301","2013-14","K",17,"504",1,"0","0","0","0","0"
"302","2013-14","K",21,"1,755",5,"1","8","6","8","0"
"303","2013-14","K",22,"3,877",1,"3","11","2","12","2"
"304","2013-14","K",21,"2,575",2,"3","15","29","5","9"
"305","2013-14","K",18,"1,107",3,"2","5","4","3","3"
"306","2013-14","K",19,"1,747",5,"3","5","18","4","3"
"307","2013-14","K",13,"208",1,"0","0","0","0","0"
"308","2013-14","K",19,"661",2,"1","3","1","2","2"
"309","2013-14","K",22,"3,055",1,"2","8","26","1","5"
"310","2013-14","K",13,"5,458",1,"2","6","8","3","0"
"311","2013-14","K",19,"1,694",5,"4","8","20","6","5"
"312","2013-14","K",17,"1,553",4,"1","8","19","2","6"
"313","2013-14","M",6,"560",1,"0","1","0","0","1"
"314","2013-14","K",20,"3,362",3,"2","9","8","6","4"
"315","2013-14","K",14,"2,740",3,"2","11","21","10","1"
"316","2013-14","K",16,"1,340",3,"5","4","33","6","1"
"317","2013-14","K",13,"280",2,"0","3","2","2","1"
"318","2013-14","K",20,"970",1,"0","0","1","0","0"
"319","2013-14","K",15,"1,426",5,"2","9","14","7","2"
"320","2013-14","K",20,"4,317",1,"1","10","7","9","1"
"321","2013-14","K",19,"644",1,"0","0","0","0","0"
"322","2013-14","K",17,"2,414",6,"4","6","17","3","5"
"323","2013-14","K",17,"1,441",5,"3","2","16","2","3"
"324","2013-14","K",32,"1,270",4,"3","11","37","7","3"
"325","2013-14","K",20,"1,313",1,"0","3","2","2","0"
"326","2013-14","K",22,"1,314",5,"2","14","35","11","4"
"327","2013-14","K",18,"1,066",3,"1","4","11","2","3"
"328","2013-14","K",20,"3,424",2,"0","7","4","4","1"
"329","2013-14","K",18,"1,758",6,"1","7","28","4","1"
"330","2013-14","K",15,"169",1,"0","0","3","0","0"
"331","2013-14","K",21,"4,017",1,"2","8","6","8","2"
"332","2013-14","K",22,"1,046",1,"0","0","0","0","0"
"333","2013-14","K",21,"1,937",1,"3","8","10","3","8"
"334","2013-14","K",32,"333",1,"0","0","1","0","0"
"335","2013-14","K",15,"1,309",1,"3","4","3","2","5"
"336","2013-14","K",13,"1,433",5,"3","9","13","6","4"
"337","2013-14","K",17,"1,248",1,"2","4","2","5","1"
"338","2013-14","K",17,"1,525",1,"0","7","14","3","4"
"339","2013-14","K",14,"850",3,"2","3","5","4","0"
"340","2013-14","K",19,"1,167",1,"0","2","16","0","1"
"341","2013-14","K",21,"636",2,"2","1","13","1","2"
"342","2013-14","K",17,"686",3,"0","3","19","0","2"
"343","2013-14","K",14,"1,736",3,"1","8","24","5","4"
"344","2013-14","K",15,"1,329",2,"1","8","3","7","0"
"345","2013-14","K",19,"463",1,"0","8","12","0","6"
"346","2013-14","K",21,"902",1,"0","3","4","1","1"
"347","2013-14","K",21,"478",1,"0","0","0","0","0"
"348","2013-14","K",21,"196",1,"0","2","3","2","0"
"349","2013-14","K",22,"296",1,"0","0","0","0","0"
"350","2013-14","K",15,"82",1,"0","0","0","0","0"
"351","2013-14","K",14,"225",1,"0","1","0","1","0"
"352","2013-14","K",15,"215",1,"0","1","0","1","0"
"353","2013-14","K",15,"571",1,"3","3","4","1","5"
"354","2014-15","K",14,"142",1,"0","0","0","0","0"
"355","2013-14","K",13,"1,274",3,"3","9","9","5","4"
"356","2013-14","K",15,"128",2,"2","0","1","2","0"
"357","2013-14","K",19,"446",1,"0","0","0","0","0"
"358","2013-14","K",19,"468",1,"0","0","1","0","0"
"359","2013-14","K",17,"131",2,"1","1","1","2","0"
"360","2013-14","K",15,"163",1,"0","0","1","0","0"
"361","2013-14","K",15,"519",2,"0","0","1","0","0"
"362","2013-14","K",19,"365",1,"0","0","0","0","0"
"363","2013-14","K",15,"1,040",2,"0","0","1","0","0"
"364","2013-14","K",22,"534",1,"0","0","0","0","0"
"365","2013-14","K",22,"219",1,"0","0","0","0","0"
"366","2013-14","K",19,"262",1,"0","2","1","1","1"
"367","2013-14","K",18,"187",1,"2","2","1","4","0"
"368","2013-14","K",22,"643",1,"0","0","0","0","0"
"369","2013-14","K",32,"360",1,"0","1","0","0","0"
"370","2013-14","K",23,"241",2,"2","5","2","5","2"
"371","2013-14","K",13,"429",2,"1","1","2","0","1"
"372","2013-14","K",17,"203",1,"1","3","6","4","0"
"373","2013-14","K",13,"623",1,"3","2","9","2","2"
"374","2013-14","K",32,"513",1,"0","2","2","1","1"
"375","2013-14","K",13,"907",1,"0","2","1","2","0"
"376","2013-14","K",15,"618",1,"0","0","0","0","0"
"377","2013-14","X",19,"485",1,"4","1","1","0","5"
"378","2013-14","K",20,"288",1,"0","0","0","0","0"
"379","2013-14","K",16,"518",1,"0","11","5","7","2"
"380","2013-14","K",13,"361",1,"0","1","2","1","0"
"381","2013-14","M",2,"496",1,"1","0","0","1","0"
"382","2013-14","M",2,"822",1,"0","1","1","1","0"
"383","2013-14","M",2,"808",1,"0","2","0","2","0"
"384","2013-14","M",6,"730",1,"0","1","0","1","0"
"385","2013-14","M",6,"674",1,"0","0","1","0","0"
"386","2013-14","M",2,"751",1,"0","0","0","0","0"
"387","2013-14","M",4,"569",2,"1","2","0","2","1"
"388","2013-14","M",3,"877",2,"0","0","1","0","0"
"389","2013-14","M",5,"1,489",1,"0","10","8","6","3"
"390","2013-14","M",2,"820",1,"0","1","0","1","0"
"391","2013-14","M",4,"789",5,"0","2","2","0","2"
"392","2013-14","M",1,"190",1,"2","1","1","2","1"
"393","2013-14","M",2,"855",2,"1","0","3","1","0"
"394","2013-14","M",1,"443",2,"1","3","1","1","1"
